"","site","month","grass_PC1","grass_PC_tm1","browser_100m2","patty_100m2","PD_1m2","browser_minusLastMo","patty_minusLastMo","PD_minusLastMo","browser_lastMo","patty_lastMo","PD_lastMo","wing.mean","wing.se","thorax.mean","thorax.se","head.mean","head.se","forearm.mean","forearm.se","body.mean","body.se","trt","spp","trtbison","trtcattle","trttrtpd","trtungrazed","trtuntrtpd","Temp48hr","Temp20day","Temp60day"
"57","trtpd_1",7,NA,NA,0.000, 4.250,  6.375, 0.000,-1.500, -4.750,0.000, 5.750, 11.125,3.30565217,0.04489701,3.07739130,0.06064286,2.06869565,0.05172252,2.00304348,0.05041502, 8.45173913, 0.12762137,"trtpd","Onthophagus_nuchicornis_male",0,0,1,0,0,23.43142,24.70198,NA
"58","trtpd_1",8,NA,NA,0.000, 3.625,  3.375, 0.000,-0.625, -3.000,0.000, 4.250,  6.375,3.05750000,0.09911063,2.97750000,0.20834167,1.79250000,0.09775607,1.96250000,0.08290306, 7.82750000, 0.29372252,"trtpd","Onthophagus_nuchicornis_female",0,0,1,0,0,26.82067,27.03629,24.79956
"59","trtpd_1",8,NA,NA,0.000, 3.625,  3.375, 0.000,-0.625, -3.000,0.000, 4.250,  6.375,3.52000000,0.19000000,3.84000000,0.21000000,2.14000000,0.11000000,2.50500000,0.05500000, 9.50000000, 0.29000000,"trtpd","Onthophagus_nuchicornis_male",0,0,1,0,0,26.82067,27.03629,24.79956
"60","trtpd_1",8,NA,NA,0.000, 3.625,  3.375, 0.000,-0.625, -3.000,0.000, 4.250,  6.375,6.32026316,0.19736006,4.75131579,0.12566476,3.40736842,0.11067984,3.84342105,0.12060792,14.47894737, 0.41815890,"trtpd","Canthon_pilularius",0,0,1,0,0,26.82067,27.03629,24.79956
"61","trtpd_2",6, 1.26562959,NA,0.250, 0.375, 21.750,NA,NA,NA,NA,NA,NA,7.38250000,0.11607289,5.10500000,0.07511103,3.90500000,0.07675719,4.08250000,0.13597641,16.39250000, 0.20389438,"trtpd","Canthon_pilularius",0,0,1,0,0,21.64588,NA,NA
"62","trtpd_2",6, 1.26562959,NA,0.250, 0.375, 21.750,NA,NA,NA,NA,NA,NA,3.05903226,0.04963816,2.93903226,0.04775465,1.73483871,0.03608792,1.77548387,0.03571042, 7.73290323, 0.12181441,"trtpd","Onthophagus_nuchicornis_female",0,0,1,0,0,21.64588,NA,NA
"63","trtpd_2",6, 1.26562959,NA,0.250, 0.375, 21.750,NA,NA,NA,NA,NA,NA,3.09000000,0.04236893,3.06342857,0.05795818,1.87057143,0.04061490,1.84971429,0.02940441, 8.02400000, 0.13324912,"trtpd","Onthophagus_nuchicornis_male",0,0,1,0,0,21.64588,NA,NA
"64","trtpd_2",7,NA,NA,0.000, 0.500,  9.750,-0.250, 0.125,-12.000,0.250, 0.375, 21.750,7.12513514,0.07705992,5.06351351,0.06957746,3.76108108,0.05043621,3.85891892,0.05941884,15.94972973, 0.18966760,"trtpd","Canthon_pilularius",0,0,1,0,0,26.17725,26.26140,NA
"65","trtpd_2",7,NA,NA,0.000, 0.500,  9.750,-0.250, 0.125,-12.000,0.250, 0.375, 21.750,3.01315789,0.03344409,2.87078947,0.04487755,1.67526316,0.02347099,1.79263158,0.03226774, 7.55921053, 0.09207532,"trtpd","Onthophagus_nuchicornis_female",0,0,1,0,0,26.17725,26.26140,NA
"66","trtpd_2",7,NA,NA,0.000, 0.500,  9.750,-0.250, 0.125,-12.000,0.250, 0.375, 21.750,3.12076923,0.04858909,2.92269231,0.05310529,1.89038462,0.04681709,1.88730769,0.03381196, 7.93384615, 0.12639264,"trtpd","Onthophagus_nuchicornis_male",0,0,1,0,0,26.17725,26.26140,NA
"67","trtpd_2",8,NA,NA,0.000, 0.375,  8.375, 0.000,-0.125, -1.375,0.000, 0.500,  9.750,7.09050000,0.07819105,5.09950000,0.06965018,3.76900000,0.04839448,3.93975000,0.06476534,15.95900000, 0.18835584,"trtpd","Canthon_pilularius",0,0,1,0,0,23.86050,27.12210,26.52935
"68","trtpd_2",8,NA,NA,0.000, 0.375,  8.375, 0.000,-0.125, -1.375,0.000, 0.500,  9.750,3.17714286,0.13039709,2.85285714,0.11877779,1.78285714,0.05894769,1.82571429,0.09949533, 7.81285714, 0.27521173,"trtpd","Onthophagus_nuchicornis_female",0,0,1,0,0,23.86050,27.12210,26.52935
"69","trtpd_2",8,NA,NA,0.000, 0.375,  8.375, 0.000,-0.125, -1.375,0.000, 0.500,  9.750,3.06200000,0.12088838,2.90800000,0.02267157,1.86200000,0.09046546,1.86000000,0.07569676, 7.83200000, 0.21664256,"trtpd","Onthophagus_nuchicornis_male",0,0,1,0,0,23.86050,27.12210,26.52935
"70","trtpd_3",6,NA,NA,0.000, 3.125,  7.625,NA,NA,NA,NA,NA,NA,3.19727273,0.05727273,3.03818182,0.08320640,1.83636364,0.06099587,1.88636364,0.05612118, 8.07181818, 0.17072476,"trtpd","Onthophagus_nuchicornis_male",0,0,1,0,0,18.59092,NA,NA
"71","trtpd_3",6,NA,NA,0.000, 3.125,  7.625,NA,NA,NA,NA,NA,NA,3.34250000,0.05699714,3.10250000,0.06067955,1.76583333,0.02898428,1.81000000,0.04863282, 8.21083333, 0.13145144,"trtpd","Onthophagus_nuchicornis_female",0,0,1,0,0,18.59092,NA,NA
"72","trtpd_3",6,NA,NA,0.000, 3.125,  7.625,NA,NA,NA,NA,NA,NA,7.20545455,0.22539405,5.04909091,0.17396684,3.71727273,0.13345814,3.72181818,0.17075138,15.97181818, 0.51962892,"trtpd","Canthon_pilularius",0,0,1,0,0,18.59092,NA,NA
"73","trtpd_3",7,NA,NA,0.000, 2.000,  4.750, 0.000,-1.125, -2.875,0.000, 3.125,  7.625,3.03555556,0.09705541,3.03666667,0.06355225,1.73333333,0.08156456,1.68000000,0.06898067, 7.80555556, 0.21355530,"trtpd","Onthophagus_nuchicornis_female",0,0,1,0,0,26.51667,22.82824,NA
"74","trtpd_3",7,NA,NA,0.000, 2.000,  4.750, 0.000,-1.125, -2.875,0.000, 3.125,  7.625,3.00500000,0.07787811,2.75000000,0.07075780,1.65833333,0.05665196,1.65500000,0.06834959, 7.41333333, 0.17452157,"trtpd","Onthophagus_nuchicornis_male",0,0,1,0,0,26.51667,22.82824,NA
"75","trtpd_3",7,NA,NA,0.000, 2.000,  4.750, 0.000,-1.125, -2.875,0.000, 3.125,  7.625,7.08833333,0.16756864,4.85222222,0.15143228,3.68500000,0.10357420,3.54777778,0.11766951,15.62555556, 0.41726954,"trtpd","Canthon_pilularius",0,0,1,0,0,26.51667,22.82824,NA
"76","trtpd_3",8,NA,NA,0.000, 1.375,  7.875, 0.000,-0.625,  3.125,0.000, 2.000,  4.750,6.70400000,0.18428580,5.03650000,0.13609035,3.69525000,0.10125874,4.24800000,0.12755301,15.43575000, 0.41043549,"trtpd","Canthon_pilularius",0,0,1,0,0,26.28083,25.90954,24.01750
"77","trtpd_3",8,NA,NA,0.000, 1.375,  7.875, 0.000,-0.625,  3.125,0.000, 2.000,  4.750,3.30000000,0.05000000,2.80000000,0.18000000,1.70000000,0.01000000,1.96500000,0.21500000, 7.80000000, 0.22000000,"trtpd","Onthophagus_nuchicornis_female",0,0,1,0,0,26.28083,25.90954,24.01750
"78","trtpd_3",8,NA,NA,0.000, 1.375,  7.875, 0.000,-0.625,  3.125,0.000, 2.000,  4.750,3.17000000,0.08152563,3.03500000,0.10138329,1.97625000,0.06247678,2.03000000,0.07887603, 8.18125000, 0.19082001,"trtpd","Onthophagus_nuchicornis_male",0,0,1,0,0,26.28083,25.90954,24.01750
"79","ungrazed_1",6, 1.66320862,NA,1.125, 0.000,NA,NA,NA,NA,NA,NA,NA,7.40250000,0.08352088,5.22750000,0.07044251,3.96825000,0.05435624,4.11075000,0.07821354,16.59825000, 0.20458961,"ungrazed","Canthon_pilularius",0,0,0,1,0,21.65662,NA,NA
"80","ungrazed_1",6, 1.66320862,NA,1.125, 0.000,NA,NA,NA,NA,NA,NA,NA,2.96588235,0.05862829,2.95500000,0.05947070,1.67088235,0.03148824,1.73764706,0.04357070, 7.59176471, 0.13897798,"ungrazed","Onthophagus_nuchicornis_female",0,0,0,1,0,21.65662,NA,NA
