code,trt,site,yr,mo,day,plot,browser_100m2,patty_100m2,PD_1m2,browser_minusLastMo,patty_minusLastMo,PD_minusLastMo,browser_lastMo,patty_lastMo,PD_lastMo,browser_2MoPrior,patty_2MoPrior,PD_2MoPrior
cattle_2-7,cattle,cattle_2,2022,7,6,1,1,10,0,1,4,NA,0,6,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,2,0,13,0,-2,-1,NA,2,14,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,3,1,14,0,0,-1,NA,1,15,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,4,0,16,0,-1,-2,NA,1,18,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,5,0,13,0,0,2,NA,0,11,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,6,1,5,0,0,-2,NA,1,7,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,7,0,13,0,-2,-5,NA,2,18,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,8,0,9,0,0,-1,NA,0,10,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,1,0,4,0,0,4,NA,0,0,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,2,0,0,0,0,-1,NA,0,1,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,3,0,0,0,0,0,NA,0,0,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,4,0,0,0,0,0,NA,0,0,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,5,0,1,0,0,1,NA,0,0,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,6,0,0,0,0,-1,NA,0,1,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,7,0,2,0,0,-1,NA,0,3,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,8,0,3,0,0,-1,NA,0,4,0,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,1,0,0,7,0,0,0,0,0,7,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,2,0,1,3,0,1,1,0,0,2,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,3,0,2,5,0,-3,-1,0,5,6,NA,NA,NA
